Date,Strategy,Turnover,Transaction Cost
2020-11-02,Minimum Volatility,0.021777261171294564,1.0888630585647282e-05
2020-11-02,Risk Parity,0.007452388610288893,3.7261943051444466e-06
2020-12-01,Equal Weight,0.0,0.0
2020-12-01,Maximum Diversification,0.02065866383677352,1.032933191838676e-05
2020-12-01,Maximum Sharpe,0.028316922216368452,1.4158461108184227e-05
2020-12-01,Minimum Volatility,0.010723525724229462,5.361762862114731e-06
2020-12-01,Risk Parity,0.0042654290688825675,2.1327145344412838e-06
2021-01-01,Equal Weight,0.0,0.0
2021-01-01,Maximum Diversification,0.016294933792578774,8.147466896289387e-06
2021-01-01,Maximum Sharpe,0.017790840702407305,8.895420351203652e-06
2021-01-01,Minimum Volatility,0.020255119112227292,1.0127559556113646e-05
2021-01-01,Risk Parity,0.008229527311797019,4.11476365589851e-06
2021-02-01,Equal Weight,0.0,0.0
2021-02-01,Maximum Diversification,0.025284695838192456,1.2642347919096228e-05
2021-02-01,Maximum Sharpe,0.06680545221039233,3.340272610519617e-05
2021-02-01,Minimum Volatility,0.022728238165360338,1.1364119082680169e-05
2021-02-01,Risk Parity,0.002676105228641021,1.3380526143205105e-06
2021-03-01,Equal Weight,0.0,0.0
2021-03-01,Maximum Diversification,0.030666307092234474,1.5333153546117238e-05
2021-03-01,Maximum Sharpe,0.010773784268970077,5.386892134485039e-06
2021-03-01,Minimum Volatility,0.02399521031075562,1.199760515537781e-05
2021-03-01,Risk Parity,0.011321311589869057,5.660655794934528e-06
2021-04-01,Equal Weight,0.0,0.0
2021-04-01,Maximum Diversification,0.02595919897845394,1.297959948922697e-05
2021-04-01,Maximum Sharpe,0.010239689018710932,5.119844509355466e-06
2021-04-01,Minimum Volatility,0.026624986545562924,1.3312493272781463e-05
2021-04-01,Risk Parity,0.015429085499272951,7.714542749636476e-06
2021-05-03,Equal Weight,0.0,0.0
2021-05-03,Maximum Diversification,0.027734319841163445,1.3867159920581722e-05
2021-05-03,Maximum Sharpe,0.01993593026731004,9.96796513365502e-06
2021-05-03,Minimum Volatility,0.027384559611442358,1.3692279805721179e-05
2021-05-03,Risk Parity,0.007221375257453172,3.610687628726586e-06
2021-06-01,Equal Weight,0.0,0.0
2021-06-01,Maximum Diversification,0.02132319173576678,1.066159586788339e-05
2021-06-01,Maximum Sharpe,0.06361097259016277,3.1805486295081384e-05
2021-06-01,Minimum Volatility,0.015643043625552144,7.821521812776072e-06
2021-06-01,Risk Parity,0.0028037921492233137,1.401896074611657e-06
2021-07-01,Equal Weight,0.0,0.0
2021-07-01,Maximum Diversification,0.018476344449672586,9.238172224836293e-06
2021-07-01,Maximum Sharpe,0.13435335074784313,6.717667537392156e-05
2021-07-01,Minimum Volatility,0.010639887163318852,5.319943581659426e-06
2021-07-01,Risk Parity,0.007796834180721898,3.898417090360949e-06
